Àðòèêóë;x1;y1;x2;y2;x3;y3;x4;y4;x5;y5;x6;y6
114531;17;41;23;59;23;58;17;41;0;0;0;0
114532;22;53;29;77;29;75;22;53;0;0;0;0
114533;27;65;36;94;36;93;26;65;0;0;0;0
114534;32;77;43;111;43;110;31;77;0;0;0;0
119161;17;41;23;57;23;56;17;41;0;0;0;0
119162;22;53;30;74;30;73;22;53;0;0;0;0
119163;27;65;36;90;36;89;27;65;0;0;0;0
119164;32;77;43;107;43;106;32;77;0;0;0;0
114611;43;30;43;30;0;0;0;0;0;0;0;0
114612;60;41;60;41;0;0;0;0;0;0;0;0
114613;76;52;76;52;0;0;0;0;0;0;0;0
114614;94;65;94;65;0;0;0;0;0;0;0;0
119201;27;55;27;55;27;55;0;0;0;0;0;0
119202;35;72;35;72;35;72;0;0;0;0;0;0
119203;43;88;43;88;43;88;0;0;0;0;0;0
119204;51;104;51;104;51;104;0;0;0;0;0;0
119341;41;42;41;42;0;0;0;0;0;0;0;0
119342;54;54;54;54;0;0;0;0;0;0;0;0
119343;66;66;66;67;0;0;0;0;0;0;0;0
119344;78;79;78;79;0;0;0;0;0;0;0;0
115431;37;20;37;20;37;20;0;0;0;0;0;0
115432;51;27;51;28;51;28;0;0;0;0;0;0
115433;64;34;64;35;64;35;0;0;0;0;0;0
115434;79;43;79;43;79;43;0;0;0;0;0;0
119491;16;31;24;46;16;31;0;0;0;0;0;0
119492;22;43;33;63;22;43;0;0;0;0;0;0
119493;28;55;42;81;28;55;0;0;0;0;0;0
119494;35;68;51;99;35;68;0;0;0;0;0;0
119531;18;59;45;59;19;59;0;0;0;0;0;0
119532;24;76;58;76;24;76;0;0;0;0;0;0
119533;29;94;71;94;29;94;0;0;0;0;0;0
119534;35;111;84;111;35;111;0;0;0;0;0;0
119561;27;50;27;50;0;0;0;0;0;0;0;0
119562;33;63;33;63;0;0;0;0;0;0;0;0
119563;41;77;41;77;0;0;0;0;0;0;0;0
119564;48;91;48;91;0;0;0;0;0;0;0;0
119591;26;34;33;43;0;0;0;0;0;0;0;0
119592;36;47;45;59;0;0;0;0;0;0;0;0
119593;45;60;58;76;0;0;0;0;0;0;0;0
119594;56;73;71;93;0;0;0;0;0;0;0;0
119621;27;48;27;48;27;48;0;0;0;0;0;0
119622;35;62;36;62;35;62;0;0;0;0;0;0
119623;44;76;44;76;44;76;0;0;0;0;0;0
119624;52;90;52;90;52;90;0;0;0;0;0;0
116001;27;59;27;59;27;59;0;0;0;0;0;0
116002;35;76;35;76;35;76;0;0;0;0;0;0
116003;43;94;43;94;43;94;0;0;0;0;0;0
116004;51;111;51;111;51;111;0;0;0;0;0;0
119721;17;45;23;57;23;57;17;45;0;0;0;0
119722;22;58;30;73;30;74;22;58;0;0;0;0
119723;27;71;36;90;36;91;27;71;0;0;0;0
119724;32;84;43;106;43;108;32;84;0;0;0;0
119751;52;20;52;20;52;20;0;0;0;0;0;0
119752;72;27;72;27;72;27;0;0;0;0;0;0
119753;91;34;91;34;91;34;0;0;0;0;0;0
119754;112;42;112;42;112;42;0;0;0;0;0;0
119781;27;61;27;61;27;61;0;0;0;0;0;0
119782;35;79;35;79;35;79;0;0;0;0;0;0
119783;43;96;43;96;43;96;0;0;0;0;0;0
119784;51;114;51;114;51;114;0;0;0;0;0;0
119831;19;37;19;37;19;37;0;0;0;0;0;0
119832;26;51;26;51;26;51;0;0;0;0;0;0
119833;34;65;34;65;34;65;0;0;0;0;0;0
119834;41;80;41;80;41;80;0;0;0;0;0;0
119841;29;49;29;49;0;0;0;0;0;0;0;0
119842;40;68;40;68;0;0;0;0;0;0;0;0
119843;52;87;52;87;0;0;0;0;0;0;0;0
119844;63;107;63;107;0;0;0;0;0;0;0;0
119861;19;44;19;44;19;44;0;0;0;0;0;0
119862;26;61;26;61;26;61;0;0;0;0;0;0
119863;34;78;34;78;34;78;0;0;0;0;0;0
119864;41;96;41;96;41;96;0;0;0;0;0;0
116401;14;44;30;44;14;44;0;0;0;0;0;0
116402;19;61;42;61;19;61;0;0;0;0;0;0
116403;24;78;53;78;24;78;0;0;0;0;0;0
116404;30;96;65;96;30;96;0;0;0;0;0;0
119881;27;59;27;59;27;59;0;0;0;0;0;0
119882;35;76;35;76;35;76;0;0;0;0;0;0
119883;43;93;43;93;43;93;0;0;0;0;0;0
119884;51;110;51;110;51;110;0;0;0;0;0;0
116431;17;59;47;59;17;59;0;0;0;0;0;0
116432;22;76;61;76;22;76;0;0;0;0;0;0
116433;27;93;75;93;27;93;0;0;0;0;0;0
116434;33;110;89;110;33;110;0;0;0;0;0;0
120051;19;41;19;41;19;41;0;0;0;0;0;0
120052;27;57;26;57;26;57;0;0;0;0;0;0
120053;34;73;34;73;34;73;0;0;0;0;0;0
120054;42;89;41;89;41;89;0;0;0;0;0;0
120061;29;46;29;46;0;0;0;0;0;0;0;0
120062;40;64;40;64;0;0;0;0;0;0;0;0
120063;51;82;51;81;0;0;0;0;0;0;0;0
120064;63;100;63;100;0;0;0;0;0;0;0;0
120081;47;19;47;19;47;19;0;0;0;0;0;0
120082;65;27;65;27;65;27;0;0;0;0;0;0
120083;83;34;83;34;83;34;0;0;0;0;0;0
120084;102;42;102;42;102;42;0;0;0;0;0;0
120121;27;55;27;55;27;55;0;0;0;0;0;0
120122;35;71;35;71;35;71;0;0;0;0;0;0
120123;43;87;43;87;43;87;0;0;0;0;0;0
120124;51;103;51;103;51;103;0;0;0;0;0;0
120151;29;50;29;49;0;0;0;0;0;0;0;0
120152;40;69;40;68;0;0;0;0;0;0;0;0
120153;52;88;52;87;0;0;0;0;0;0;0;0
120154;63;107;63;107;0;0;0;0;0;0;0;0
120171;60;43;0;0;0;0;0;0;0;0;0;0
120172;83;59;0;0;0;0;0;0;0;0;0;0
120173;106;75;0;0;0;0;0;0;0;0;0;0
120174;130;92;0;0;0;0;0;0;0;0;0;0
120191;36;41;23;33;0;0;0;0;0;0;0;0
120192;49;57;32;45;0;0;0;0;0;0;0;0
120193;63;73;41;57;0;0;0;0;0;0;0;0
120194;77;89;50;70;0;0;0;0;0;0;0;0
120221;27;53;27;53;27;53;0;0;0;0;0;0
120222;35;69;35;69;35;69;0;0;0;0;0;0
120223;43;84;43;84;43;84;0;0;0;0;0;0
120224;51;100;51;100;51;100;0;0;0;0;0;0
120271;27;53;27;53;27;53;0;0;0;0;0;0
120272;35;68;35;68;35;68;0;0;0;0;0;0
120273;43;83;43;83;43;83;0;0;0;0;0;0
120274;51;99;51;99;51;99;0;0;0;0;0;0
120301;40;46;19;31;0;0;0;0;0;0;0;0
120302;55;64;26;44;0;0;0;0;0;0;0;0
120303;70;82;33;56;0;0;0;0;0;0;0;0
120304;86;100;41;68;0;0;0;0;0;0;0;0
120381;29;57;29;57;0;0;0;0;0;0;0;0
120382;40;79;40;79;0;0;0;0;0;0;0;0
120383;52;101;52;100;0;0;0;0;0;0;0;0
